Island Group,Quality note,Quality,,Sample ID,1990 Landcover,1990 sub-class,First year of cloud-free data,1990 confidence,change event? 1990-2015,change event conf,1990 notes,year of change 1,Prev cloud-free yr 1,change type 1,Confidence change 1,notes change 1,year of change 2,previous cloud-free year 2,change type 2,Confidence change 2,notes change 2,year of change 3,previous cloud-free year 3,change type 3,Confidence change 3,notes change 3,LULC SPOT6/7,Classification Notes,Transition Summary,AGREE or DISAGREE,SPOT image?,High Res GE?,More than 3 change events?,Confidence of final interpreter,User,Final interpreter notes,Diana edited notes,year of change 4,previous cloud-free year 4,change type 4,Confidence change 4,notes change 4,year of change 5,previous cloud-free year 5,change type 5,Confidence change 5,notes change 5,year of change 6,previous cloud-free year 6,change type 6,Confidence change 6,notes change 6,
Kalimantan,,9,,2914,Non Forest,NA,1992,High,No,High,,,,,,,,,,,,,,,,,Belukar Rawa,,  ,Agree,Yes,2012,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2915,Non Forest,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,2015,No,High,Yazid checked,coconut tree in GE,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2916,Primary degraded,NA,1990,High,Yes,High,,1992,1991,Degraded - Nearby clearing,High,,1997,1996,Cleared - Small-holder land use,High,,,,,,,Pertanian Lahan Kering Campur Semak,,Degraded - Nearby clearing Cleared - Small-holder land use ,Disagree - minor,Yes,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2917,Primary degraded,NA,1991,High,No,High,No free cloud cover until 1991; Nearby clearingby Road,,,,,,,,,,,,,,,,Hutan Sekunder,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2918,Primary degraded,NA,1990,High,Yes,High,,1992,1990,Degraded - Nearby clearing,High,,2009,2008,Cleared - Abandoned/transitional,Low,,,,,,,Belukar Rawa,,Degraded - Nearby clearing Cleared - Abandoned/transitional ,Disagree - minor,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2919,Primary intact,NA,1993,High,Yes,High,,1998,1997,Degraded - Selective Logging,Low,,,,,,,,,,,,Hutan Sekunder,,Degraded - Selective Logging  ,Disagree - minor,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2920,Primary intact,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Hutan Rawa Primer,,  ,Disagree - minor,Yes,2016,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2921,Primary intact,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2922,Primary intact,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2923,Primary intact,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2924,Primary degraded,NA,1991,High,No,High,,,,,,,,,,,,,,,,,Hutan Sekunder,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2925,Primary intact,NA,1991,High,No,High,,,,,,,,,,,,,,,,,Hutan Rawa Primer,,  ,Disagree - minor,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2926,Primary intact,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2927,Non Forest,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Belukar,,  ,Agree,Yes,2013,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2928,Non Forest,NA,1993,High,No,High,completely in the body of river,,,,,,,,,,,,,,,,Air,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2929,Primary intact,NA,1990,High,Yes,High,,2009,2008,Degraded - Selective Logging,Low,,,,,,,,,,,,Hutan Sekunder,,Degraded - Selective Logging  ,Disagree - minor,No,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2930,Non Forest,NA,1991,High,No,High,,,,,,,,,,,,,,,,,Belukar,,  ,Disagree - major,No,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2931,Primary degraded,NA,1992,High,Yes,High,1990 Non-forest data; previous free cloud cover = 1989,1996,1995,Cleared - Mining,High,,,,,,,,,,,,Pertambangan,,Cleared - Mining  ,Disagree - major,Yes,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2932,Primary degraded,NA,1990,High,Yes,High,,1995,1992,Cleared - Abandoned/transitional,High,,,,,,,,,,,,Belukar,,Cleared - Abandoned/transitional  ,Agree,Yes,2015,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2933,Primary intact,NA,1994,High,Yes,High,1990 Non-forest data; previous free cloud cover = 1989,1999,1998,Degraded - Selective Logging,low,,,,,,,,,,,,Hutan Sekunder,,Degraded - Selective Logging  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2934,Primary intact,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
