Island Group,Check,Quality note,Quality,Sample ID QC,Sample ID,SampleID (from user join),1990 Landcover,1990 sub-class,First year of cloud free data,1990 confidence,change event? 1990-2015,change event conf,1990 notes,year of change 1,Prev cloud-free yr 1,change type 1,Confidence change 1,notes change 1,year of change 2,previous cloud-free year 2,change type 2,Confidence change 2,notes change 2,year of change 3,previous cloud-free year 3,change type 3,Confidence change 3,notes change 3,LULC SPOT6/7,Classification Notes,Transition Summary,AGREE or DISAGREE,Spot image?,High Res GE?,More than 3 change events?,Confidence of final interpreter,User,Final interpreter notes,Diana edited notes,year of change 4,previous cloud-free year 4,change type 4,Confidence change 4,notes change 4,year of change 5,previous cloud-free year 5,change type 5,Confidence change 5,notes change 5,year of change 6,previous cloud-free year 6,change type 6,Confidence change 6,notes change 6,,,
Sulawesi,Same sample ID,Inconsistence,6,6524,6524,6524,Primary intact,NA,1997,High,Yes,High,,2016,2015,Cleared - Small-holder land use,High,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,SPOT not available,Cleared - Small-holder land use  ,Disagree - major,No,2012,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6525,6525,6525,Primary degraded,NA,1990,High,Yes,High,,1994,1990,Cleared - Small-holder land use,High,cleared before 1994 (no image between 1991-1993),,,,,,,,,,,Pertanian Lahan Kering,,Cleared - Small-holder land use  ,Disagree - minor,Yes,2015,No,High,Yazid checked,coconut plantation,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6526,6526,6526,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6527,6527,6527,Primary intact,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6528,6528,6528,Non Forest,NA,1996,Low,No,High,image of 1990 not available,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Disagree - major,Yes,2014,No,High,Yazid checked,no image in 1990-1995,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6529,6529,6529,Primary intact,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6530,6530,6530,Primary intact,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2015,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6531,6531,6531,Primary intact,NA,1997,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,No,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6532,6532,6532,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Sawah,,  ,Agree,Yes,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6533,6533,6533,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
