ISLAND,ID,FINAL_LU_UMD,DEG_YR_FIRST,DEG_TYPE_FIRST,CLEAR_YR_FIRST,CLEAR_TYPE_FIRST,NUM_CHANGE,X1990_LC,CH1_YR,CH1_TYPE,CH2_YR,CH2_TYPE,CH3_YR,CH3_TYPE,CH4_YR,CH4_TYPE,CH5_YR,CH5_TYPE,CH6_YR,CH6_TYPE,KLHK_LU,TRAJECTORY
Sumatera,9298,Cleared - Tree plantation,1999,Degraded - Selective logging,2e3,Cleared - Abandoned,3,Primary intact,1999,Degraded - Selective logging,2000,Cleared - Abandoned,2014,Cleared - Tree plantation,0,NA,0,NA,0,NA,Hutan Tanaman,Primary intact > Degraded - Selective logging > Cleared - Abandoned > Cleared - Tree plantation
Sumatera,9499,Cleared - Tree plantation,2001,Degraded - Nearby clearing,2002,Cleared - Tree plantation,3,Primary intact,2001,Degraded - Nearby clearing,2002,Cleared - Tree plantation,2008,Cleared - Tree plantation,0,NA,0,NA,0,NA,Hutan Tanaman,Primary intact > Degraded - Nearby clearing > Cleared - Tree plantation > Cleared - Tree plantation
Sumatera,9515,Cleared - Smallholder,1996,Degraded - Nearby clearing,1998,Cleared - Abandoned,3,Primary intact,1996,Degraded - Nearby clearing,1998,Cleared - Abandoned,2006,Cleared - Smallholder,0,NA,0,NA,0,NA,Pertanian Lahan Kering Campur Semak,Primary intact > Degraded - Nearby clearing > Cleared - Abandoned > Cleared - Smallholder
Sumatera,9529,Cleared - Palm estate,1994,Degraded - Nearby clearing,1996,Cleared - Abandoned,3,Primary intact,1994,Degraded - Nearby clearing,1996,Cleared - Abandoned,2000,Cleared - Palm estate,0,NA,0,NA,0,NA,Perkebunan,Primary intact > Degraded - Nearby clearing > Cleared - Abandoned > Cleared - Palm estate
Sumatera,10000,Cleared - Tree plantation,2001,Degraded - Selective logging,2008,Cleared - Tree plantation,3,Primary intact,2001,Degraded - Selective logging,2008,Cleared - Tree plantation,2013,Cleared - Tree plantation,0,NA,0,NA,0,NA,Hutan Tanaman,Primary intact > Degraded - Selective logging > Cleared - Tree plantation > Cleared - Tree plantation
Kalimantan,4733,Cleared - Palm estate,1995,Degraded - Selective logging,2001,Cleared - Abandoned,3,Primary intact,1995,Degraded - Selective logging,2001,Cleared - Abandoned,2006,Cleared - Palm estate,0,NA,0,NA,0,NA,Perkebunan,Primary intact > Degraded - Selective logging > Cleared - Abandoned > Cleared - Palm estate
Kalimantan,3564,Cleared - Palm estate,2009,Degraded - Nearby clearing,2010,Cleared - Abandoned,3,Primary intact,2009,Degraded - Nearby clearing,2010,Cleared - Abandoned,2013,Cleared - Palm estate,0,NA,0,NA,0,NA,Perkebunan,Primary intact > Degraded - Nearby clearing > Cleared - Abandoned > Cleared - Palm estate
Kalimantan,3317,Cleared - Abandoned,1997,Degraded - Fire,2007,Cleared - Abandoned,3,Primary intact,1997,Degraded - Fire,2007,Cleared - Abandoned,2013,Cleared - Abandoned,0,NA,0,NA,0,NA,Belukar,Primary intact > Degraded - Fire > Cleared - Abandoned > Cleared - Abandoned
Kalimantan,3886,Cleared - Smallholder,2008,Degraded - Selective logging,2010,Cleared - Abandoned,3,Primary intact,2008,Degraded - Selective logging,2010,Cleared - Abandoned,2015,Cleared - Smallholder,0,NA,0,NA,0,NA,Pertanian Lahan Kering Campur Semak,Primary intact > Degraded - Selective logging > Cleared - Abandoned > Cleared - Smallholder
Kalimantan,4505,Cleared - Abandoned,2007,Degraded - Nearby clearing,2010,Cleared - Abandoned,3,Primary intact,2007,Degraded - Nearby clearing,2010,Cleared - Abandoned,2015,Cleared - Abandoned,0,NA,0,NA,0,NA,Belukar,Primary intact > Degraded - Nearby clearing > Cleared - Abandoned > Cleared - Abandoned
Kalimantan,3086,Cleared - Fire,1996,Degraded - Nearby clearing,1999,Cleared - Fire,3,Primary intact,1996,Degraded - Nearby clearing,1999,Cleared - Fire,2013,Cleared - Fire,0,NA,0,NA,0,NA,Belukar Rawa,Primary intact > Degraded - Nearby clearing > Cleared - Fire > Cleared - Fire
Kalimantan,3171,Cleared - Fire,1994,Degraded - Nearby clearing,1995,Cleared - Smallholder,3,Primary intact,1994,Degraded - Nearby clearing,1995,Cleared - Smallholder,1997,Cleared - Fire,0,NA,0,NA,0,NA,Pertanian Lahan Kering Campur Semak,Primary intact > Degraded - Nearby clearing > Cleared - Smallholder > Cleared - Fire
Kalimantan,4314,Cleared - Abandoned,1993,Degraded - Nearby clearing,1996,Cleared - Fire,3,Primary intact,1993,Degraded - Nearby clearing,1996,Cleared - Fire,2015,Cleared - Abandoned,0,NA,0,NA,0,NA,Belukar Rawa,Primary intact > Degraded - Nearby clearing > Cleared - Fire > Cleared - Abandoned
Kalimantan,3085,Cleared - Tree plantation,1999,Degraded - Selective logging,2003,Cleared - Tree plantation,3,Primary intact,1999,Degraded - Selective logging,2003,Cleared - Tree plantation,2015,Cleared - Tree plantation,0,NA,0,NA,0,NA,Hutan Tanaman,Primary intact > Degraded - Selective logging > Cleared - Tree plantation > Cleared - Tree plantation
